id,structure_50b8d,structure_33fe8,structure_ad7f2,structure_8f3a1,structure_c049e,structure_7223a,structure_8c401,structure_3c59f,structure_c1943,structure_e0f31,structure_b4c93,structure_791d6,structure_9eff6,structure_627d5,structure_d9adc,structure_51837,structure_5863e,structure_43740,structure_00d94,structure_e499b,structure_a58fd,structure_8714b,structure_3330e,structure_b0cc9,structure_87ad2,structure_4c0c7,structure_bfc0b,structure_0b23a,structure_75259,structure_286c4,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
4f04a,original,original,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4,original,gpt-4,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,artemis-llm,gpt-4,artemis-llm,artemis-llm,gpt-4,original,original,artemis-llm,original,-0.00495608620503234,0.41087199014409403,0.024786456098185788,4.997078422829508,22885435.339463636,99.73850466248606,True,False,False
4ad05,artemis-llm,gpt-4,original,gpt-4-turbo,gpt-4-turbo,original,original,artemis-llm,gpt-4,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4,gpt-4-turbo,original,artemis-llm,original,original,artemis-llm,gpt-4,original,gpt-4-turbo,gpt-4,original,-0.13680973533326143,-0.16651230754252816,0.01654098045483078,5.003666926547885,23018117.403005965,99.7467306155173,True,True,False
d0d42,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,original,original,artemis-llm,artemis-llm,original,gpt-4,gpt-4-turbo,original,gpt-4,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,original,original,gpt-3.5-turbo,artemis-llm,gpt-4,artemis-llm,original,gpt-4-turbo,original,original,original,original,-0.03115811363649149,-0.030095102060514203,0.011111290603353864,4.998387693800032,22986768.929556735,99.75214744962418,True,True,False
d2c97,artemis-llm,original,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4,gpt-4-turbo,gpt-4-turbo,original,original,original,original,artemis-llm,original,artemis-llm,original,original,artemis-llm,gpt-4,gpt-4,gpt-4-turbo,original,original,-0.15607211781751332,0.28650309763402276,0.07567279739467214,5.004629435203969,22914015.12828856,99.68773880354216,True,False,False
527a5,original,gpt-4,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,original,artemis-llm,original,gpt-4,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4,gpt-4-turbo,gpt-3.5-turbo,artemis-llm,original,artemis-llm,artemis-llm,original,gpt-4,gpt-4-turbo,original,original,-0.042748598463246815,0.19259843135894728,0.02238025538633285,4.998966850712895,22935594.282670747,99.74090516609502,True,False,False
0c086,artemis-llm,gpt-4,original,original,gpt-4-turbo,original,artemis-llm,original,gpt-4,original,gpt-4,original,original,original,original,original,artemis-llm,original,gpt-4,original,gpt-3.5-turbo,artemis-llm,gpt-4,original,original,original,gpt-4,original,artemis-llm,original,0.01347772474170904,-0.3577733440487614,0.06678564783453028,4.996157316491008,23062068.90826956,99.69660491121445,False,True,False
1cb12,original,gpt-4-turbo,original,original,gpt-4-turbo,original,artemis-llm,artemis-llm,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,original,artemis-llm,original,gpt-4,original,artemis-llm,artemis-llm,original,original,original,original,original,original,original,artemis-llm,-0.11560480201807688,0.04813626625603834,0.015199387102383607,5.002607351914048,22968791.476024367,99.74806903241179,True,False,False
b9e17,original,original,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4-turbo,artemis-llm,original,gpt-4,original,gpt-4-turbo,original,original,original,original,artemis-llm,original,artemis-llm,original,original,artemis-llm,gpt-4-turbo,gpt-4,gpt-4-turbo,gpt-4,original,-0.24758707381487463,-0.03557967606842144,0.06688613666312809,5.009202282689512,22988029.27660797,99.69650466031081,True,True,False
d5404,original,gpt-4,artemis-llm,original,original,gpt-4-turbo,original,artemis-llm,gpt-4,gpt-4-turbo,gpt-4,original,gpt-4,original,gpt-4-turbo,original,artemis-llm,original,gpt-4,artemis-llm,gpt-3.5-turbo,original,gpt-4,original,original,original,original,original,artemis-llm,artemis-llm,-0.46981533768462874,0.17163639624566437,0.04812395657812765,5.020306652970612,22940411.327550597,99.71522241763837,True,False,False
3cc88,artemis-llm,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,original,artemis-llm,original,original,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,original,artemis-llm,original,gpt-4-turbo,original,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4,gpt-4-turbo,artemis-llm,original,-0.23559926217692714,0.14576318973802962,0.05485130246151121,5.008603272028267,22946356.952403307,99.70851099992821,True,False,False
89284,artemis-llm,gpt-4,original,original,gpt-4-turbo,original,original,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,artemis-llm,gpt-4,original,artemis-llm,gpt-4,original,gpt-4-turbo,artemis-llm,artemis-llm,0.07726351586045543,-0.24863698424385228,0.043045169337437336,4.9929700484499335,23036989.533086635,99.72028917995804,False,True,False
3c4ac,original,gpt-4-turbo,original,original,gpt-4-turbo,original,artemis-llm,artemis-llm,gpt-4,gpt-4,artemis-llm,original,original,gpt-4-turbo,original,original,original,original,gpt-4,artemis-llm,artemis-llm,original,gpt-4,artemis-llm,artemis-llm,original,gpt-4,original,artemis-llm,original,-0.6519813809950853,0.09906177445021136,0.029707062313674263,5.029409181885422,22957088.869041085,99.73359570667023,True,False,False
329b4,artemis-llm,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4,original,original,gpt-4,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,original,artemis-llm,original,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,artemis-llm,artemis-llm,0.0037081574268085175,0.21633673657838592,0.03645554295137937,4.996645485237241,22930139.254998308,99.72686320424599,False,False,False
a6be1,original,gpt-4,original,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4,gpt-4,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,artemis-llm,original,artemis-llm,artemis-llm,original,original,original,artemis-llm,original,-0.28422404344809854,0.3263241123067091,0.02320856869914975,5.011032970063388,22904864.31760616,99.74007881395949,True,False,False
e9c84,artemis-llm,gpt-4,original,gpt-4-turbo,gpt-4-turbo,original,original,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,artemis-llm,gpt-4,artemis-llm,artemis-llm,gpt-4,original,gpt-4-turbo,gpt-4,original,0.010296869932708638,0.15805902431135593,0.06996746950184501,4.996316258423031,22943531.387678564,99.6934306230689,False,False,False
c960b,original,gpt-4,artemis-llm,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,original,original,original,gpt-4,artemis-llm,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,original,-0.15122669072098716,0.35812893437351795,-0.009357274541151811,5.004387317411601,22897555.61621035,99.77256755184484,True,False,True
f71ee,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,original,artemis-llm,original,original,artemis-llm,gpt-4,original,original,artemis-llm,original,0.03163334094115937,-0.21270161800995419,0.04872105562764186,4.995250111073256,23028731.6387082,99.71462673232575,False,True,False
1321e,original,gpt-4-turbo,original,original,original,original,original,artemis-llm,gpt-4,gpt-4,artemis-llm,original,original,gpt-4-turbo,original,original,artemis-llm,original,original,artemis-llm,artemis-llm,artemis-llm,gpt-4,artemis-llm,artemis-llm,original,gpt-4,original,gpt-4,original,-0.7168866459678742,0.020976340553486895,-0.005312646521571718,5.032652388140559,22975032.787058126,99.76853250019265,True,False,True
b43c8,artemis-llm,gpt-4,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,original,original,original,gpt-4-turbo,original,original,original,original,original,gpt-4,original,gpt-3.5-turbo,artemis-llm,gpt-4,original,original,original,original,original,artemis-llm,original,-0.24245948574820625,0.12066674680444625,0.041733445773016346,5.008946065790951,22952124.078127615,99.72159779778649,True,False,False
d060f,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,artemis-llm,original,gpt-4,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,original,artemis-llm,artemis-llm,artemis-llm,original,artemis-llm,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4,original,0.015288238373898507,0.18877055147259383,0.02493050384342731,4.996066848188638,22936473.923846215,99.73836095579917,False,False,False
9419f,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,artemis-llm,original,original,gpt-4-turbo,original,original,artemis-llm,original,original,gpt-4-turbo,gpt-3.5-turbo,artemis-llm,original,artemis-llm,original,gpt-4,original,gpt-4-turbo,gpt-4,artemis-llm,-0.1376320630519094,0.2577803320764589,-0.0027827870681049714,5.003708016872406,22920615.57762549,99.76600863062588,True,False,True
c8ab1,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,0.0,0.0,0.0,4.996830775588751,22979853.119307123,99.76323243229503,False,False,False
9a2c4,original,original,original,original,original,gpt-4-turbo,original,artemis-llm,original,gpt-4,original,original,gpt-4,original,gpt-4-turbo,original,artemis-llm,original,original,original,gpt-3.5-turbo,artemis-llm,gpt-4,original,original,original,original,gpt-4-turbo,artemis-llm,original,-1.1333988710605052,-0.23672962231820596,0.07028016510671467,5.0534647991880774,23034253.238805737,99.69311866782581,True,True,False
b184b,original,gpt-4,original,original,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,artemis-llm,original,original,original,gpt-4-turbo,original,original,original,gpt-4,artemis-llm,gpt-3.5-turbo,gpt-4-turbo,original,original,original,original,original,original,artemis-llm,artemis-llm,-0.4772869261776942,0.22231599220606874,-0.02421297764340167,5.020679995603859,22928765.23083744,99.7873880814602,True,False,True
d68a8,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,artemis-llm,gpt-4-turbo,original,gpt-4,original,gpt-4,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,original,original,artemis-llm,artemis-llm,artemis-llm,original,original,original,original,original,gpt-4-turbo,gpt-4,artemis-llm,0.013403082216986792,-0.03963259387692416,0.06671228542144934,4.996161046251655,22988960.63116741,99.69667809992913,False,True,False
17bda,original,gpt-4,original,original,gpt-4-turbo,original,original,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,artemis-llm,original,gpt-4,gpt-4-turbo,artemis-llm,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4,artemis-llm,-0.04805521825071681,0.1875976945258551,0.027766868416455197,4.999232013523579,22936743.444649875,99.73553130681755,True,False,False
ec8fd,artemis-llm,gpt-4,artemis-llm,original,original,gpt-4-turbo,original,artemis-llm,original,gpt-4-turbo,gpt-4,original,gpt-4,original,original,gpt-4-turbo,artemis-llm,original,gpt-4,gpt-4-turbo,original,original,gpt-4,artemis-llm,original,gpt-4-turbo,original,original,artemis-llm,original,0.1850660753767463,-0.11779290379791575,0.07571253026376704,4.987583336979151,23006921.75558485,99.68769916474761,False,True,False
fb8ee,artemis-llm,gpt-4,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,artemis-llm,gpt-4,gpt-4-turbo,gpt-4-turbo,original,gpt-4,original,original,gpt-4-turbo,artemis-llm,original,gpt-4,gpt-4-turbo,original,artemis-llm,original,artemis-llm,original,gpt-4-turbo,original,original,gpt-4,artemis-llm,-0.14899329721594998,0.24714415610636917,0.02860813460394417,5.004275718517602,22923059.75524093,99.73469203247555,True,False,False
88825,artemis-llm,gpt-4,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4-turbo,original,artemis-llm,original,gpt-4,original,gpt-4-turbo,original,artemis-llm,original,original,gpt-4-turbo,artemis-llm,gpt-4-turbo,original,artemis-llm,artemis-llm,original,gpt-4,original,artemis-llm,original,0.25241753438437814,-0.021837669667234064,-0.011725858252202327,4.98421789854765,22984871.383721333,99.77493052751785,False,True,True
99f1d,artemis-llm,gpt-4,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4,artemis-llm,original,gpt-4,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,artemis-llm,original,gpt-4-turbo,original,artemis-llm,artemis-llm,gpt-4-turbo,original,original,original,artemis-llm,-1.2031303582613022,0.2701924236361528,-0.0014080250958665367,5.056949163600803,22917763.29721604,99.76463712364412,True,False,True
33764,artemis-llm,original,artemis-llm,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4,original,gpt-4,original,original,gpt-4-turbo,original,original,gpt-4,gpt-4-turbo,original,original,gpt-4,artemis-llm,artemis-llm,gpt-4-turbo,original,original,artemis-llm,original,-0.23817510771257752,-0.12188153267030521,0.05736423516039875,5.008731982670724,23007861.31649432,99.70600401703895,True,True,False
74dab,original,original,original,original,gpt-4-turbo,original,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,original,original,artemis-llm,original,original,artemis-llm,original,gpt-4-turbo,original,gpt-4-turbo,original,artemis-llm,0.03421304087006938,0.3025400515810687,0.1061435270340193,4.99512120783329,22910329.859826718,99.65734021870824,False,False,False
25e62,original,original,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,artemis-llm,original,artemis-llm,original,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4,gpt-4-turbo,gpt-4,artemis-llm,-0.7095752347264471,-0.04807569624554062,0.0678258016107792,5.032287049293518,22990900.843690433,99.695567220185,True,True,False
7180d,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4,original,original,original,gpt-4-turbo,original,original,artemis-llm,original,gpt-4,gpt-4-turbo,gpt-3.5-turbo,artemis-llm,gpt-4,artemis-llm,artemis-llm,gpt-4,original,original,original,artemis-llm,-0.08076911634807077,0.22824090390496327,0.06042798243738223,5.000866671651602,22927403.694831584,99.70294752372187,True,False,False
49852,artemis-llm,original,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,original,gpt-4,original,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,original,gpt-4,artemis-llm,artemis-llm,original,gpt-4,original,artemis-llm,original,gpt-4,original,original,original,-0.6456465589385577,-0.025131214999205113,0.06344867333699086,5.029092641547322,22985628.235601038,99.69993398483864,True,True,False
3f034,original,gpt-4-turbo,original,original,gpt-4-turbo,original,artemis-llm,artemis-llm,gpt-4-turbo,original,artemis-llm,original,original,gpt-4-turbo,original,original,original,original,gpt-4,original,artemis-llm,original,original,artemis-llm,artemis-llm,original,original,original,artemis-llm,original,-1.346393145622943,-0.12879116961852516,0.04155254197555185,5.064107762649655,23009449.140916098,99.72177827326243,True,True,False
7ba76,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,artemis-llm,original,gpt-4-turbo,original,original,original,artemis-llm,original,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,original,artemis-llm,gpt-4,gpt-4,original,artemis-llm,original,-0.3397801010853927,-0.2269826103786822,10.00262607462017,5.013809012249112,23032013.389778513,89.78428933213836,True,True,False
d059c,original,original,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-3.5-turbo,artemis-llm,original,artemis-llm,artemis-llm,original,gpt-4,gpt-4-turbo,original,original,-0.035050014537563255,-0.041409715071987874,0.035224917844793195,4.998582165502012,22989369.01100779,99.72809091563144,True,True,False
ae4e0,artemis-llm,gpt-4,original,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4,original,gpt-4,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,artemis-llm,original,artemis-llm,artemis-llm,gpt-4,gpt-4,original,artemis-llm,original,-1.059003034965513,0.296762594472969,0.09549430157523932,5.049747365154326,22911657.51098419,99.66796423025492,True,False,False
1b137,artemis-llm,gpt-4,artemis-llm,original,original,gpt-4-turbo,original,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4,original,gpt-4,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,gpt-4-turbo,original,original,gpt-4,artemis-llm,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,gpt-4,original,0.045839870314084354,-0.009226654294595238,0.05450458500858291,4.9945402348414065,22981973.390911847,99.70885689646666,False,True,False
bfb2c,artemis-llm,gpt-4,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,artemis-llm,original,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,artemis-llm,original,gpt-4-turbo,gpt-4,original,original,original,-0.45544281964893557,-0.1516735910554542,0.014333108680684475,5.019588482566178,23014707.487752445,99.74893325976714,True,True,False
fe89f,original,gpt-4,original,gpt-4-turbo,original,gpt-4-turbo,original,artemis-llm,gpt-4,gpt-4,artemis-llm,original,original,original,original,original,artemis-llm,original,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4,gpt-4-turbo,gpt-4,original,-0.04557517712615929,-0.0356914399535551,0.045530652394920594,4.99910809006542,22988054.959784616,99.71780958171834,True,True,False
35d30,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,artemis-llm,original,artemis-llm,artemis-llm,gpt-4,original,original,artemis-llm,original,0.03688744928007135,0.10982215065282017,-0.01702016632465486,4.994987572170794,22954616.15039464,99.78021230038586,False,False,True
97f83,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,artemis-llm,gpt-3.5-turbo,gpt-4-turbo,original,original,original,gpt-4,original,original,artemis-llm,original,-0.5185111419294123,-0.07696144499470838,0.07667679327036866,5.022739899903536,22997538.746325403,99.68673718480308,True,True,False
b5d06,original,gpt-4,original,original,gpt-4-turbo,original,original,original,gpt-4,gpt-4-turbo,artemis-llm,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4,gpt-4-turbo,original,artemis-llm,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,-0.6166224968532603,-0.06323333384036105,0.07489432764103093,5.027642358280718,22994384.04654608,99.6885154301319,True,True,False
aca19,artemis-llm,gpt-4-turbo,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,original,gpt-4,original,original,gpt-4,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,original,original,artemis-llm,gpt-4,artemis-llm,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,original,original,0.025613196172356013,0.041138701180601575,0.07470756644393109,4.9955509275197985,22970399.50620063,99.68870174913906,False,False,False
